Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_55_3,VPWR,li1,9.6600,160.4800,1.799616
FILLER_54_385,VPWR,li1,183.3100,160.4800,1.799359
FILLER_54_377,VPWR,li1,180.7800,160.4800,1.799359
FILLER_54_362,VPWR,li1,172.5000,160.4800,1.799180
FILLER_54_316,VPWR,li1,151.5700,160.4800,1.798119
FILLER_54_295,VPWR,li1,142.1400,160.4800,1.797776
FILLER_54_262,VPWR,li1,126.9600,160.4800,1.797362
FILLER_54_248,VPWR,li1,120.5200,160.4800,1.797285
FILLER_54_233,VPWR,li1,114.0800,160.4800,1.797213
FILLER_54_209,VPWR,li1,102.5800,160.4800,1.797169
FILLER_54_197,VPWR,li1,98.9000,160.4800,1.797196
FILLER_54_194,VPWR,li1,95.2200,160.4800,1.797241
FILLER_54_186,VPWR,li1,92.9200,160.4800,1.797270
FILLER_54_174,VPWR,li1,88.3200,160.4800,1.797343
FILLER_54_141,VPWR,li1,71.3000,160.4800,1.797714
FILLER_54_136,VPWR,li1,69.0000,160.4800,1.797791
FILLER_54_115,VPWR,li1,58.6500,160.4800,1.798222
FILLER_54_109,VPWR,li1,57.0400,160.4800,1.798222
FILLER_54_97,VPWR,li1,52.9000,160.4800,1.798381
FILLER_54_85,VPWR,li1,47.3800,160.4800,1.798592
FILLER_54_83,VPWR,li1,43.9300,160.4800,1.798787
FILLER_54_77,VPWR,li1,42.3200,160.4800,1.798787
FILLER_54_65,VPWR,li1,38.1800,160.4800,1.798945
FILLER_54_53,VPWR,li1,32.6600,160.4800,1.799157
FILLER_54_41,VPWR,li1,27.1400,160.4800,1.799404
FILLER_54_29,VPWR,li1,21.6200,160.4800,1.799616
FILLER_54_27,VPWR,li1,18.1700,160.4800,1.799616
FILLER_54_15,VPWR,li1,15.1800,160.4800,1.799616
FILLER_54_3,VPWR,li1,9.6600,160.4800,1.799616
FILLER_53_380,VPWR,li1,182.1600,155.0400,1.799582
FILLER_53_368,VPWR,li1,177.5600,155.0400,1.799582
FILLER_53_337,VPWR,li1,161.2300,155.0400,1.799032
FILLER_53_321,VPWR,li1,155.9400,155.0400,1.798844
FILLER_53_278,VPWR,li1,133.8600,155.0400,1.798264
FILLER_53_225,VPWR,li1,109.9400,155.0400,1.797959
FILLER_53_183,VPWR,li1,89.9300,155.0400,1.798017
FILLER_53_179,VPWR,li1,88.7800,155.0400,1.798017
FILLER_53_169,VPWR,li1,83.4900,155.0400,1.798089
FILLER_53_162,VPWR,li1,81.4200,155.0400,1.798119
FILLER_53_125,VPWR,li1,64.8600,155.0400,1.798504
FILLER_53_113,VPWR,li1,60.2600,155.0400,1.798630
FILLER_53_111,VPWR,li1,56.8100,155.0400,1.798724
FILLER_53_99,VPWR,li1,53.8200,155.0400,1.798831
FILLER_53_75,VPWR,li1,40.2500,155.0400,1.799179
FILLER_53_69,VPWR,li1,38.6400,155.0400,1.799237
FILLER_53_57,VPWR,li1,34.5000,155.0400,1.799342
FILLER_53_55,VPWR,li1,31.0500,155.0400,1.799440
FILLER_53_51,VPWR,li1,29.9000,155.0400,1.799499
FILLER_53_39,VPWR,li1,26.2200,155.0400,1.799580
FILLER_53_27,VPWR,li1,20.7000,155.0400,1.799707
FILLER_53_15,VPWR,li1,15.1800,155.0400,1.799707
FILLER_53_3,VPWR,li1,9.6600,155.0400,1.799707
FILLER_52_385,VPWR,li1,183.3100,155.0400,1.799582
FILLER_52_377,VPWR,li1,180.7800,155.0400,1.799582
FILLER_52_356,VPWR,li1,171.1200,155.0400,1.799402
FILLER_52_338,VPWR,li1,161.4600,155.0400,1.799032
FILLER_52_302,VPWR,li1,145.8200,155.0400,1.798537
FILLER_52_290,VPWR,li1,141.6800,155.0400,1.798437
FILLER_52_273,VPWR,li1,132.9400,155.0400,1.798211
FILLER_52_250,VPWR,li1,120.9800,155.0400,1.798052
FILLER_52_242,VPWR,li1,118.6800,155.0400,1.798029
FILLER_52_230,VPWR,li1,114.0800,155.0400,1.797984
FILLER_52_218,VPWR,li1,108.5600,155.0400,1.797959
FILLER_52_206,VPWR,li1,100.9700,155.0400,1.797941
FILLER_52_153,VPWR,li1,76.5900,155.0400,1.798237
FILLER_52_141,VPWR,li1,73.1400,155.0400,1.798293
FILLER_52_136,VPWR,li1,69.0000,155.0400,1.798402
FILLER_52_121,VPWR,li1,62.5600,155.0400,1.798567
FILLER_52_109,VPWR,li1,58.4200,155.0400,1.798724
FILLER_52_97,VPWR,li1,52.9000,155.0400,1.798831
FILLER_52_81,VPWR,li1,43.4700,155.0400,1.799089
FILLER_52_33,VPWR,li1,22.5400,155.0400,1.799707
FILLER_52_29,VPWR,li1,19.0900,155.0400,1.799707
FILLER_52_27,VPWR,li1,18.1700,155.0400,1.799707
FILLER_52_15,VPWR,li1,15.1800,155.0400,1.799707
FILLER_52_3,VPWR,li1,9.6600,155.0400,1.799707
FILLER_51_384,VPWR,li1,183.0800,149.6000,1.799471
FILLER_51_372,VPWR,li1,179.4000,149.6000,1.799471
FILLER_51_360,VPWR,li1,173.8800,149.6000,1.799315
FILLER_51_337,VPWR,li1,161.2300,149.6000,1.798688
FILLER_51_313,VPWR,li1,150.1900,149.6000,1.798217
FILLER_51_305,VPWR,li1,147.6600,149.6000,1.798092
FILLER_51_293,VPWR,li1,143.0600,149.6000,1.797937
FILLER_51_281,VPWR,li1,137.5400,149.6000,1.797706
FILLER_51_278,VPWR,li1,133.8600,149.6000,1.797552
FILLER_51_225,VPWR,li1,109.9400,149.6000,1.797208
FILLER_51_223,VPWR,li1,108.3300,149.6000,1.797225
FILLER_51_215,VPWR,li1,106.2600,149.6000,1.797246
FILLER_51_203,VPWR,li1,101.6600,149.6000,1.797292
FILLER_51_191,VPWR,li1,96.1400,149.6000,1.797358
FILLER_51_181,VPWR,li1,89.0100,149.6000,1.797463
FILLER_51_169,VPWR,li1,86.0200,149.6000,1.797509
FILLER_51_165,VPWR,li1,82.1100,149.6000,1.797570
FILLER_51_157,VPWR,li1,79.5800,149.6000,1.797622
FILLER_51_134,VPWR,li1,67.8500,149.6000,1.797896
FILLER_51_113,VPWR,li1,57.7300,149.6000,1.798213
FILLER_51_106,VPWR,li1,55.6600,149.6000,1.798289
FILLER_51_93,VPWR,li1,49.2200,149.6000,1.798529
FILLER_51_79,VPWR,li1,42.3200,149.6000,1.798789
FILLER_51_74,VPWR,li1,39.7900,149.6000,1.798901
FILLER_51_66,VPWR,li1,37.7200,149.6000,1.798996
FILLER_51_52,VPWR,li1,30.3600,149.6000,1.799238
FILLER_51_45,VPWR,li1,27.1400,149.6000,1.799359
FILLER_51_3,VPWR,li1,7.3600,149.6000,1.799584
FILLER_50_385,VPWR,li1,183.3100,149.6000,1.799471
FILLER_50_377,VPWR,li1,180.7800,149.6000,1.799471
FILLER_50_365,VPWR,li1,176.1800,149.6000,1.799471
FILLER_50_362,VPWR,li1,172.5000,149.6000,1.799315
FILLER_50_354,VPWR,li1,170.2000,149.6000,1.799193
FILLER_50_339,VPWR,li1,162.8400,149.6000,1.798814
FILLER_50_322,VPWR,li1,153.8700,149.6000,1.798342
FILLER_50_318,VPWR,li1,152.7200,149.6000,1.798342
FILLER_50_306,VPWR,li1,146.7400,149.6000,1.798092
FILLER_50_298,VPWR,li1,144.4400,149.6000,1.797937
FILLER_50_268,VPWR,li1,129.0300,149.6000,1.797306
FILLER_50_264,VPWR,li1,127.8800,149.6000,1.797306
FILLER_50_253,VPWR,li1,122.3600,149.6000,1.797173
FILLER_50_251,VPWR,li1,121.2100,149.6000,1.797171
FILLER_50_245,VPWR,li1,119.6000,149.6000,1.797171
FILLER_50_221,VPWR,li1,108.1000,149.6000,1.797225
FILLER_50_195,VPWR,li1,95.4500,149.6000,1.797384
FILLER_50_191,VPWR,li1,94.3000,149.6000,1.797384
FILLER_50_179,VPWR,li1,90.6200,149.6000,1.797463
FILLER_50_155,VPWR,li1,77.7400,149.6000,1.797660
FILLER_50_145,VPWR,li1,72.4500,149.6000,1.797772
FILLER_50_141,VPWR,li1,71.3000,149.6000,1.797846
FILLER_50_139,VPWR,li1,69.6900,149.6000,1.797846
FILLER_50_133,VPWR,li1,68.0800,149.6000,1.797896
