net,length_um
systolic_inst.cycle_cnt\[19\],30.92µm
_09949_,30.88µm
deser_B.shift_reg\[79\],30.88µm
systolic_inst.acc_wires\[4\]\[22\],30.86µm
systolic_inst.acc_wires\[3\]\[12\],30.85µm
_07086_,30.84µm
systolic_inst.A_shift\[2\]\[6\],30.84µm
_03809_,30.8µm
ser_C.shift_reg\[338\],30.8µm
_10178_,30.78µm
systolic_inst.B_shift\[12\]\[3\],30.76µm
systolic_inst.acc_wires\[7\]\[31\],30.74µm
_04740_,30.66µm
_12028_,30.66µm
systolic_inst.acc_wires\[0\]\[21\],30.62µm
_07558_,30.6µm
systolic_inst.row_loop\[2\].col_loop\[1\].pe_i.prod_reg\[2\],30.56µm
systolic_inst.acc_wires\[11\]\[18\],30.55µm
_04892_,30.54µm
_12030_,30.54µm
_08113_,30.52µm
deser_B.shift_reg\[120\],30.52µm
deser_B.shift_reg\[17\],30.5µm
_04362_,30.42µm
systolic_inst.acc_wires\[8\]\[21\],30.4µm
_07837_,30.38µm
_08057_,30.38µm
_09359_,30.38µm
_12867_,30.38µm
_05641_,30.36µm
_08829_,30.36µm
_08967_,30.34µm
systolic_inst.acc_wires\[8\]\[29\],30.34µm
systolic_inst.row_loop\[0\].col_loop\[0\].pe_i.prod_reg\[13\],30.315µm
systolic_inst.acc_wires\[13\]\[19\],30.3µm
systolic_inst.acc_wires\[8\]\[27\],30.3µm
clknet_leaf_151_clk,30.28µm
_09248_,30.235µm
_08585_,30.22µm
_04074_,30.2µm
_11228_,30.18µm
systolic_inst.acc_wires\[4\]\[18\],30.11µm
systolic_inst.acc_wires\[8\]\[3\],30.09µm
_04489_,30.08µm
systolic_inst.acc_wires\[12\]\[28\],30.08µm
systolic_inst.acc_wires\[10\]\[6\],30.07µm
_05170_,30.06µm
_04325_,30.045µm
systolic_inst.row_loop\[1\].col_loop\[3\].pe_i.prod_reg\[1\],30.04µm
systolic_inst.row_loop\[3\].col_loop\[2\].pe_i.prod_reg\[12\],30.04µm
_03686_,30µm
deser_B.shift_reg\[47\],29.98µm
_06779_,29.965µm
systolic_inst.acc_wires\[14\]\[2\],29.95µm
_09384_,29.94µm
systolic_inst.acc_wires\[2\]\[17\],29.93µm
systolic_inst.acc_wires\[1\]\[4\],29.91µm
systolic_inst.acc_wires\[12\]\[10\],29.87µm
systolic_inst.acc_wires\[7\]\[21\],29.84µm
systolic_inst.acc_wires\[4\]\[3\],29.83µm
_11419_,29.8µm
_12051_,29.8µm
deser_A.shift_reg\[8\],29.78µm
_11750_,29.775µm
deser_B.shift_reg\[66\],29.76µm
systolic_inst.acc_wires\[12\]\[19\],29.76µm
systolic_inst.acc_wires\[9\]\[20\],29.75µm
_10056_,29.74µm
systolic_inst.acc_wires\[3\]\[10\],29.74µm
systolic_inst.acc_wires\[15\]\[6\],29.71µm
_10089_,29.7µm
_08946_,29.66µm
_04905_,29.64µm
systolic_inst.B_shift\[12\]\[5\],29.64µm
systolic_inst.acc_wires\[15\]\[2\],29.64µm
systolic_inst.acc_wires\[9\]\[9\],29.64µm
systolic_inst.A_shift\[0\]\[0\],29.62µm
systolic_inst.acc_wires\[2\]\[19\],29.62µm
_11191_,29.6µm
systolic_inst.acc_wires\[4\]\[23\],29.59µm
systolic_inst.acc_wires\[8\]\[19\],29.58µm
systolic_inst.row_loop\[2\].col_loop\[1\].pe_i.prod_reg\[1\],29.56µm
systolic_inst.acc_wires\[15\]\[1\],29.55µm
systolic_inst.row_loop\[1\].col_loop\[2\].pe_i.prod_reg\[1\],29.54µm
_09069_,29.53µm
_07715_,29.52µm
_12958_,29.5µm
systolic_inst.acc_wires\[13\]\[28\],29.5µm
_12716_,29.48µm
deser_B.shift_reg\[8\],29.48µm
_04055_,29.38µm
_08821_,29.38µm
_12146_,29.38µm
systolic_inst.acc_wires\[13\]\[11\],29.34µm
_08762_,29.32µm
systolic_inst.acc_wires\[6\]\[13\],29.32µm
_07938_,29.3µm
systolic_inst.acc_wires\[8\]\[6\],29.29µm
_11620_,29.28µm
_10849_,29.26µm
systolic_inst.row_loop\[0\].col_loop\[0\].pe_i.prod_reg\[12\],29.26µm
_09451_,29.24µm
systolic_inst.B_shift\[23\]\[5\],29.24µm
systolic_inst.row_loop\[0\].col_loop\[2\].pe_i.prod_reg\[12\],29.24µm
deser_A.shift_reg\[98\],29.22µm
deser_B.shift_reg\[112\],29.2µm
_09022_,29.18µm
deser_A.shift_reg\[15\],29.18µm
_06258_,29.16µm
_09557_,29.16µm
systolic_inst.A_shift\[1\]\[5\],29.16µm
_12461_,29.14µm
systolic_inst.acc_wires\[12\]\[3\],29.09µm
_07923_,29.08µm
systolic_inst.row_loop\[3\].col_loop\[2\].pe_i.prod_reg\[6\],29.06µm
_04292_,28.98µm
systolic_inst.acc_wires\[3\]\[26\],28.97µm
_12612_,28.94µm
systolic_inst.acc_wires\[11\]\[1\],28.94µm
_06596_,28.92µm
_12523_,28.92µm
systolic_inst.acc_wires\[11\]\[10\],28.92µm
systolic_inst.acc_wires\[3\]\[11\],28.9µm
C_out\[1\],28.86µm
systolic_inst.acc_wires\[4\]\[19\],28.84µm
deser_B.shift_reg\[117\],28.82µm
_10276_,28.81µm
A_in\[64\],28.8µm
_09281_,28.76µm
deser_B.shift_reg\[39\],28.7µm
B_in\[104\],28.68µm
_10583_,28.68µm
_07028_,28.67µm
_09020_,28.66µm
systolic_inst.acc_wires\[7\]\[12\],28.66µm
_04618_,28.64µm
deser_B.shift_reg\[18\],28.62µm
systolic_inst.acc_wires\[15\]\[16\],28.58µm
systolic_inst.acc_wires\[12\]\[8\],28.54µm
_09125_,28.52µm
_08345_,28.5µm
systolic_inst.acc_wires\[5\]\[19\],28.48µm
deser_A.shift_reg\[72\],28.46µm
systolic_inst.acc_wires\[7\]\[6\],28.45µm
_12403_,28.44µm
systolic_inst.B_shift\[5\]\[1\],28.44µm
clknet_leaf_21_clk,28.44µm
_07343_,28.38µm
systolic_inst.acc_wires\[3\]\[6\],28.37µm
_06710_,28.36µm
_12378_,28.36µm
systolic_inst.acc_wires\[0\]\[22\],28.36µm
_11775_,28.34µm
systolic_inst.A_shift\[8\]\[7\],28.34µm
systolic_inst.acc_wires\[11\]\[28\],28.32µm
systolic_inst.acc_wires\[9\]\[6\],28.31µm
systolic_inst.acc_wires\[3\]\[1\],28.3µm
systolic_inst.acc_wires\[13\]\[3\],28.24µm
systolic_inst.acc_wires\[2\]\[29\],28.21µm
systolic_inst.acc_wires\[7\]\[13\],28.21µm
_08567_,28.2µm
systolic_inst.acc_wires\[7\]\[11\],28.2µm
systolic_inst.row_loop\[0\].col_loop\[2\].pe_i.prod_reg\[5\],28.2µm
deser_A.shift_reg\[75\],28.18µm
deser_B.shift_reg\[30\],28.18µm
systolic_inst.acc_wires\[10\]\[8\],28.16µm
systolic_inst.acc_wires\[12\]\[2\],28.15µm
_12843_,28.115µm
deser_A.shift_reg\[7\],28.1µm
deser_B.shift_reg\[33\],28.1µm
deser_B.shift_reg\[86\],28.1µm
_09817_,28.07µm
_08915_,28.06µm
_11291_,28.06µm
_06169_,28.04µm
systolic_inst.A_shift\[20\]\[7\],28.04µm
_11801_,28.02µm
ser_C.shift_reg\[156\],28.02µm
systolic_inst.row_loop\[2\].col_loop\[3\].pe_i.prod_reg\[5\],28.02µm
ser_C.shift_reg\[444\],27.955µm
_05895_,27.92µm
systolic_inst.acc_wires\[11\]\[21\],27.92µm
systolic_inst.acc_wires\[5\]\[13\],27.89µm
_08041_,27.88µm
systolic_inst.acc_wires\[7\]\[10\],27.88µm
ser_C.shift_reg\[354\],27.875µm
ser_C.shift_reg\[190\],27.865µm
systolic_inst.B_shift\[15\]\[0\],27.84µm
systolic_inst.acc_wires\[15\]\[9\],27.81µm
ser_C.shift_reg\[267\],27.805µm
_04097_,27.8µm
_07149_,27.8µm
_10273_,27.8µm
_10641_,27.8µm
deser_A.shift_reg\[68\],27.8µm
_12503_,27.79µm
systolic_inst.acc_wires\[14\]\[3\],27.77µm
ser_C.shift_reg\[369\],27.765µm
ser_C.shift_reg\[81\],27.755µm
systolic_inst.acc_wires\[13\]\[14\],27.75µm
_12000_,27.74µm
deser_B.bit_idx\[3\],27.74µm
systolic_inst.acc_wires\[1\]\[2\],27.71µm
_12607_,27.7µm
deser_A.shift_reg\[28\],27.7µm
_08931_,27.68µm
_10544_,27.66µm
_11206_,27.66µm
systolic_inst.acc_wires\[1\]\[8\],27.65µm
_09975_,27.64µm
_10595_,27.64µm
systolic_inst.acc_wires\[14\]\[27\],27.64µm
systolic_inst.acc_wires\[2\]\[24\],27.62µm
deser_A.shift_reg\[123\],27.6µm
systolic_inst.acc_wires\[10\]\[4\],27.57µm
_03589_,27.56µm
_04963_,27.56µm
_09498_,27.56µm
deser_A.shift_reg\[50\],27.56µm
systolic_inst.acc_wires\[12\]\[26\],27.56µm
systolic_inst.row_loop\[0\].col_loop\[3\].pe_i.prod_reg\[3\],27.54µm
_09553_,27.52µm
systolic_inst.acc_wires\[13\]\[9\],27.51µm
systolic_inst.acc_wires\[9\]\[0\],27.5µm
systolic_inst.acc_wires\[11\]\[9\],27.49µm
systolic_inst.acc_wires\[4\]\[7\],27.49µm
_09035_,27.48µm
systolic_inst.row_loop\[0\].col_loop\[3\].pe_i.prod_reg\[12\],27.48µm
systolic_inst.row_loop\[3\].col_loop\[1\].pe_i.prod_reg\[5\],27.46µm
_10597_,27.44µm
systolic_inst.acc_wires\[11\]\[19\],27.4µm
_08195_,27.38µm
_03660_,27.36µm
systolic_inst.acc_wires\[1\]\[21\],27.36µm
_10134_,27.32µm
_12508_,27.32µm
systolic_inst.A_shift\[21\]\[7\],27.3µm
net9,27.3µm
_09603_,27.28µm
systolic_inst.acc_wires\[10\]\[12\],27.28µm
_07073_,27.26µm
systolic_inst.acc_wires\[13\]\[8\],27.26µm
systolic_inst.acc_wires\[11\]\[26\],27.24µm
systolic_inst.acc_wires\[8\]\[5\],27.21µm
_03716_,27.2µm
systolic_inst.A_shift\[20\]\[3\],27.2µm
_03987_,27.18µm
systolic_inst.cycle_cnt\[27\],27.18µm
_07835_,27.17µm
_08429_,27.165µm
systolic_inst.acc_wires\[9\]\[23\],27.16µm
ser_C.shift_reg\[274\],27.145µm
A_in\[114\],27.14µm
deser_B.shift_reg\[20\],27.14µm
deser_B.shift_reg\[52\],27.14µm
systolic_inst.acc_wires\[14\]\[4\],27.13µm
_12175_,27.115µm
_07937_,27.1µm
systolic_inst.acc_wires\[3\]\[18\],27.07µm
_03515_,27.06µm
ser_C.shift_reg\[441\],27.055µm
systolic_inst.acc_wires\[2\]\[22\],27.05µm
systolic_inst.acc_wires\[14\]\[15\],27.03µm
_05964_,27.02µm
systolic_inst.acc_wires\[6\]\[29\],27.02µm
_06756_,26.99µm
deser_B.shift_reg\[115\],26.96µm
_10205_,26.94µm
systolic_inst.row_loop\[3\].col_loop\[0\].pe_i.prod_reg\[0\],26.94µm
clknet_leaf_147_clk,26.94µm
systolic_inst.acc_wires\[8\]\[25\],26.93µm
_03638_,26.9µm
_10130_,26.9µm
systolic_inst.acc_wires\[10\]\[29\],26.88µm
systolic_inst.acc_wires\[3\]\[14\],26.87µm
_07407_,26.84µm
_08391_,26.84µm
systolic_inst.acc_wires\[9\]\[5\],26.81µm
systolic_inst.acc_wires\[10\]\[27\],26.8µm
_10182_,26.78µm
systolic_inst.acc_wires\[6\]\[19\],26.78µm
_11604_,26.76µm
systolic_inst.acc_wires\[8\]\[4\],26.75µm
_06727_,26.74µm
_08692_,26.74µm
systolic_inst.B_shift\[0\]\[5\],26.74µm
systolic_inst.acc_wires\[14\]\[8\],26.74µm
systolic_inst.B_shift\[0\]\[4\],26.72µm
systolic_inst.acc_wires\[15\]\[22\],26.7µm
_12118_,26.68µm
_10588_,26.66µm
_12496_,26.64µm
_05834_,26.62µm
systolic_inst.acc_wires\[11\]\[13\],26.6µm
systolic_inst.acc_wires\[4\]\[27\],26.6µm
systolic_inst.acc_wires\[5\]\[18\],26.6µm
_09979_,26.58µm
deser_A.shift_reg\[93\],26.56µm
_06049_,26.54µm
deser_B.shift_reg\[14\],26.54µm
_03604_,26.52µm
ser_C.shift_reg\[26\],26.505µm
_05497_,26.5µm
systolic_inst.acc_wires\[7\]\[9\],26.49µm
_05522_,26.48µm
deser_A.shift_reg\[109\],26.48µm
deser_A.shift_reg\[120\],26.48µm
_07729_,26.46µm
systolic_inst.row_loop\[3\].col_loop\[2\].pe_i.prod_reg\[4\],26.44µm
_07759_,26.42µm
deser_B.shift_reg\[53\],26.42µm
_05273_,26.38µm
_10330_,26.38µm
systolic_inst.acc_wires\[5\]\[4\],26.38µm
_04367_,26.34µm
_09051_,26.34µm
_08463_,26.315µm
systolic_inst.acc_wires\[0\]\[6\],26.3µm
systolic_inst.acc_wires\[6\]\[30\],26.29µm
_09444_,26.28µm
deser_A.shift_reg\[54\],26.26µm
systolic_inst.acc_wires\[7\]\[29\],26.26µm
systolic_inst.acc_wires\[4\]\[4\],26.25µm
systolic_inst.acc_wires\[1\]\[19\],26.24µm
systolic_inst.row_loop\[1\].col_loop\[3\].pe_i.prod_reg\[2\],26.24µm
systolic_inst.row_loop\[0\].col_loop\[3\].pe_i.prod_reg\[10\],26.22µm
_06277_,26.2µm
systolic_inst.acc_wires\[12\]\[27\],26.2µm
systolic_inst.acc_wires\[2\]\[10\],26.2µm
systolic_inst.acc_wires\[3\]\[4\],26.2µm
_07132_,26.18µm
systolic_inst.acc_wires\[2\]\[28\],26.16µm
systolic_inst.acc_wires\[0\]\[28\],26.15µm
systolic_inst.acc_wires\[8\]\[9\],26.15µm
_03498_,26.14µm
systolic_inst.row_loop\[0\].col_loop\[1\].pe_i.prod_reg\[9\],26.14µm
_08467_,26.12µm
_12050_,26.1µm
_12950_,26.1µm
deser_B.shift_reg\[60\],26.1µm
_11537_,26.08µm
systolic_inst.row_loop\[0\].col_loop\[2\].pe_i.prod_reg\[8\],26.08µm
B_in\[106\],26.06µm
_04054_,26.06µm
_04003_,26.04µm
_06999_,26.04µm
_12298_,26.04µm
systolic_inst.row_loop\[3\].col_loop\[2\].pe_i.prod_reg\[0\],26.04µm
_06401_,26.02µm
_08951_,26.02µm
systolic_inst.acc_wires\[9\]\[27\],26.02µm
_09957_,26.01µm
systolic_inst.row_loop\[0\].col_loop\[1\].pe_i.prod_reg\[11\],26.01µm
_05186_,26µm
_09947_,26µm
_12075_,26µm
systolic_inst.acc_wires\[2\]\[12\],26µm
systolic_inst.acc_wires\[11\]\[11\],25.98µm
_03624_,25.975µm
_11878_,25.96µm
_05626_,25.94µm
systolic_inst.row_loop\[3\].col_loop\[2\].pe_i.prod_reg\[5\],25.94µm
_12643_,25.92µm
deser_B.shift_reg\[50\],25.92µm
systolic_inst.acc_wires\[1\]\[11\],25.92µm
_05414_,25.88µm
deser_B.shift_reg\[76\],25.86µm
_06273_,25.84µm
_12453_,25.84µm
systolic_inst.cycle_cnt\[10\],25.84µm
systolic_inst.cycle_cnt\[16\],25.84µm
systolic_inst.acc_wires\[4\]\[12\],25.82µm
deser_A.shift_reg\[41\],25.8µm
systolic_inst.B_shift\[14\]\[3\],25.8µm
systolic_inst.acc_wires\[11\]\[7\],25.8µm
systolic_inst.acc_wires\[3\]\[27\],25.8µm
systolic_inst.acc_wires\[14\]\[22\],25.79µm
systolic_inst.acc_wires\[0\]\[29\],25.78µm
systolic_inst.acc_wires\[0\]\[7\],25.77µm
systolic_inst.acc_wires\[14\]\[26\],25.76µm
systolic_inst.acc_wires\[9\]\[22\],25.76µm
_06014_,25.74µm
deser_B.shift_reg\[2\],25.74µm
_06981_,25.7µm
_06204_,25.68µm
_11822_,25.68µm
_12672_,25.66µm
_13073_,25.66µm
systolic_inst.acc_wires\[6\]\[11\],25.66µm
systolic_inst.row_loop\[0\].col_loop\[0\].pe_i.prod_reg\[2\],25.66µm
_04519_,25.64µm
deser_A.shift_reg\[17\],25.64µm
deser_B.shift_reg\[83\],25.64µm
systolic_inst.acc_wires\[12\]\[24\],25.64µm
systolic_inst.acc_wires\[1\]\[6\],25.63µm
systolic_inst.acc_wires\[4\]\[8\],25.63µm
_11418_,25.6µm
systolic_inst.acc_wires\[3\]\[23\],25.6µm
systolic_inst.acc_wires\[3\]\[24\],25.56µm
_08903_,25.54µm
systolic_inst.row_loop\[0\].col_loop\[2\].pe_i.prod_reg\[11\],25.54µm
systolic_inst.acc_wires\[1\]\[24\],25.52µm
systolic_inst.acc_wires\[10\]\[2\],25.51µm
deser_A.shift_reg\[106\],25.48µm
deser_B.shift_reg\[45\],25.48µm
ser_C.shift_reg\[276\],25.48µm
systolic_inst.acc_wires\[0\]\[11\],25.48µm
systolic_inst.acc_wires\[0\]\[23\],25.48µm
_08984_,25.46µm
systolic_inst.B_shift\[22\]\[6\],25.42µm
systolic_inst.acc_wires\[12\]\[12\],25.41µm
systolic_inst.B_shift\[8\]\[7\],25.4µm
systolic_inst.row_loop\[0\].col_loop\[3\].pe_i.prod_reg\[9\],25.4µm
_06376_,25.38µm
systolic_inst.B_shift\[12\]\[1\],25.38µm
systolic_inst.acc_wires\[2\]\[11\],25.37µm
_09122_,25.36µm
systolic_inst.acc_wires\[12\]\[13\],25.36µm
systolic_inst.acc_wires\[5\]\[5\],25.36µm
systolic_inst.acc_wires\[13\]\[5\],25.35µm
_05232_,25.34µm
_09000_,25.34µm
deser_A.shift_reg\[115\],25.34µm
_09941_,25.32µm
_12138_,25.32µm
_12715_,25.32µm
_05692_,25.3µm
systolic_inst.acc_wires\[7\]\[19\],25.3µm
systolic_inst.acc_wires\[3\]\[7\],25.29µm
systolic_inst.acc_wires\[12\]\[7\],25.28µm
systolic_inst.row_loop\[1\].col_loop\[1\].pe_i.prod_reg\[14\],25.28µm
ser_C.shift_reg\[335\],25.275µm
systolic_inst.B_shift\[14\]\[0\],25.26µm
_06139_,25.24µm
_10375_,25.24µm
systolic_inst.B_shift\[27\]\[3\],25.24µm
ser_C.shift_reg\[256\],25.225µm
_12089_,25.22µm
systolic_inst.A_shift\[30\]\[1\],25.22µm
systolic_inst.acc_wires\[4\]\[28\],25.22µm
systolic_inst.acc_wires\[6\]\[21\],25.22µm
_09914_,25.2µm
deser_A.shift_reg\[111\],25.2µm
A_in\[86\],25.18µm
systolic_inst.acc_wires\[14\]\[21\],25.18µm
systolic_inst.row_loop\[0\].col_loop\[0\].pe_i.prod_reg\[0\],25.18µm
deser_B.shift_reg\[110\],25.155µm
systolic_inst.acc_wires\[15\]\[14\],25.15µm
_09445_,25.14µm
_11691_,25.14µm
_11729_,25.14µm
systolic_inst.acc_wires\[15\]\[10\],25.14µm
systolic_inst.row_loop\[0\].col_loop\[3\].pe_i.prod_reg\[4\],25.14µm
_12658_,25.12µm
systolic_inst.acc_wires\[15\]\[26\],25.12µm
systolic_inst.acc_wires\[8\]\[12\],25.12µm
systolic_inst.acc_wires\[12\]\[1\],25.11µm
_12616_,25.1µm
_05183_,25.08µm
systolic_inst.acc_wires\[2\]\[26\],25.08µm
_04475_,25.06µm
systolic_inst.acc_wires\[6\]\[15\],25.06µm
systolic_inst.row_loop\[3\].col_loop\[1\].pe_i.prod_reg\[14\],25.06µm
_04005_,25.04µm
systolic_inst.acc_wires\[12\]\[11\],25.04µm
_03934_,25.02µm
_04006_,25.02µm
systolic_inst.acc_wires\[10\]\[9\],25.01µm
_10352_,25µm
ser_C.shift_reg\[500\],25µm
systolic_inst.acc_wires\[15\]\[29\],25µm
systolic_inst.acc_wires\[7\]\[3\],24.99µm
_05191_,24.98µm
_08188_,24.96µm
systolic_inst.acc_wires\[14\]\[28\],24.96µm
systolic_inst.cycle_cnt\[8\],24.955µm
systolic_inst.acc_wires\[5\]\[8\],24.94µm
_08667_,24.92µm
_12141_,24.92µm
deser_A.shift_reg\[105\],24.92µm
deser_A.shift_reg\[24\],24.92µm
ser_C.shift_reg\[158\],24.92µm
systolic_inst.A_shift\[11\]\[5\],24.9µm
systolic_inst.acc_wires\[2\]\[5\],24.89µm
systolic_inst.acc_wires\[9\]\[1\],24.89µm
_08787_,24.88µm
_05677_,24.86µm
_12301_,24.86µm
deser_A.shift_reg\[45\],24.86µm
systolic_inst.acc_wires\[14\]\[14\],24.86µm
systolic_inst.acc_wires\[1\]\[30\],24.85µm
systolic_inst.cycle_cnt\[23\],24.84µm
systolic_inst.acc_wires\[7\]\[26\],24.835µm
systolic_inst.acc_wires\[5\]\[28\],24.82µm
systolic_inst.acc_wires\[9\]\[28\],24.805µm
_08473_,24.8µm
_12335_,24.8µm
systolic_inst.acc_wires\[0\]\[3\],24.79µm
_08568_,24.78µm
_09128_,24.78µm
_04701_,24.77µm
_05661_,24.76µm
systolic_inst.row_loop\[2\].col_loop\[2\].pe_i.prod_reg\[13\],24.76µm
systolic_inst.row_loop\[2\].col_loop\[2\].pe_i.prod_reg\[3\],24.76µm
_06121_,24.755µm
_05962_,24.74µm
_09614_,24.74µm
systolic_inst.acc_wires\[1\]\[22\],24.73µm
_06638_,24.72µm
_08548_,24.72µm
_08847_,24.72µm
_11011_,24.72µm
_07364_,24.68µm
_08395_,24.68µm
systolic_inst.B_shift\[9\]\[2\],24.68µm
_12628_,24.64µm
deser_A.shift_reg\[36\],24.64µm
_07273_,24.62µm
ser_C.shift_reg\[8\],24.62µm
systolic_inst.row_loop\[3\].col_loop\[1\].pe_i.prod_reg\[12\],24.62µm
ser_C.shift_reg\[400\],24.605µm
_06233_,24.6µm
_06660_,24.6µm
systolic_inst.acc_wires\[8\]\[22\],24.59µm
systolic_inst.acc_wires\[1\]\[29\],24.58µm
deser_B.shift_reg\[72\],24.56µm
systolic_inst.acc_wires\[2\]\[8\],24.56µm
_07569_,24.54µm
_11406_,24.54µm
_05960_,24.52µm
_11735_,24.52µm
systolic_inst.acc_wires\[9\]\[3\],24.495µm
_06888_,24.48µm
A_in\[120\],24.46µm
_09830_,24.45µm
systolic_inst.acc_wires\[14\]\[13\],24.45µm
C_out\[10\],24.44µm
_09463_,24.44µm
_11250_,24.44µm
systolic_inst.acc_wires\[0\]\[5\],24.44µm
_04089_,24.42µm
systolic_inst.acc_wires\[10\]\[13\],24.41µm
deser_A.shift_reg\[66\],24.38µm
_04483_,24.36µm
_09401_,24.36µm
_07269_,24.34µm
_05714_,24.335µm
_07785_,24.32µm
systolic_inst.acc_wires\[4\]\[13\],24.32µm
systolic_inst.row_loop\[1\].col_loop\[0\].pe_i.prod_reg\[2\],24.32µm
_05691_,24.315µm
_11605_,24.305µm
systolic_inst.acc_wires\[14\]\[30\],24.27µm
_11168_,24.26µm
_06497_,24.24µm
_07760_,24.24µm
_12341_,24.24µm
deser_B.shift_reg\[49\],24.22µm
_07907_,24.2µm
_11850_,24.19µm
_09824_,24.18µm
_10277_,24.18µm
systolic_inst.A_shift\[3\]\[6\],24.18µm
_05317_,24.17µm
_04852_,24.16µm
ser_C.shift_reg\[210\],24.16µm
systolic_inst.acc_wires\[3\]\[19\],24.16µm
_07021_,24.14µm
_13042_,24.1µm
_10624_,24.08µm
_12876_,24.08µm
systolic_inst.acc_wires\[4\]\[5\],24.07µm
_07872_,24.065µm
_03681_,24.06µm
_08439_,24.06µm
_12104_,24.06µm
_12105_,24.06µm
deser_A.shift_reg\[83\],24.06µm
systolic_inst.acc_wires\[11\]\[14\],24.05µm
_06654_,24.04µm
systolic_inst.A_shift\[0\]\[3\],24.04µm
systolic_inst.acc_wires\[11\]\[3\],24.04µm
systolic_inst.acc_wires\[0\]\[30\],24.03µm
_04073_,24.02µm
_07321_,24.02µm
_09619_,24.02µm
_11566_,24.02µm
systolic_inst.row_loop\[2\].col_loop\[0\].pe_i.prod_reg\[11\],24.02µm
_10195_,23.99µm
_05252_,23.98µm
_11826_,23.96µm
_11842_,23.96µm
systolic_inst.acc_wires\[7\]\[2\],23.96µm
deser_A.bit_idx\[5\],23.94µm
deser_B.shift_reg\[124\],23.94µm
_08835_,23.92µm
_10566_,23.92µm
_03560_,23.9µm
_09272_,23.9µm
_09781_,23.9µm
systolic_inst.cycle_cnt\[0\],23.89µm
_03547_,23.88µm
_12892_,23.88µm
systolic_inst.acc_wires\[6\]\[1\],23.88µm
_03537_,23.86µm
_11225_,23.86µm
deser_B.shift_reg\[92\],23.86µm
_04180_,23.84µm
_09411_,23.84µm
_11312_,23.84µm
_12929_,23.84µm
deser_B.shift_reg\[28\],23.84µm
_08945_,23.82µm
_11570_,23.82µm
systolic_inst.row_loop\[2\].col_loop\[2\].pe_i.prod_reg\[1\],23.82µm
_06042_,23.8µm
_09393_,23.8µm
systolic_inst.acc_wires\[1\]\[3\],23.8µm
clknet_leaf_49_clk,23.8µm
deser_A.shift_reg\[103\],23.78µm
ser_C.bit_idx\[3\],23.78µm
systolic_inst.acc_wires\[15\]\[5\],23.77µm
_11273_,23.76µm
_09575_,23.755µm
_04834_,23.74µm
_08209_,23.74µm
_11698_,23.74µm
_04867_,23.735µm
systolic_inst.acc_wires\[4\]\[15\],23.73µm
_08160_,23.72µm
C_out\[398\],23.7µm
_08354_,23.7µm
deser_B.shift_reg\[65\],23.68µm
_11323_,23.665µm
C_out\[107\],23.66µm
_05290_,23.66µm
_07616_,23.66µm
systolic_inst.acc_wires\[12\]\[25\],23.66µm
_08043_,23.64µm
_08388_,23.64µm
_11231_,23.64µm
_04598_,23.635µm
systolic_inst.acc_wires\[6\]\[9\],23.61µm
deser_B.shift_reg\[12\],23.6µm
_09570_,23.54µm
deser_A.shift_reg\[79\],23.5µm
deser_A.shift_reg\[88\],23.5µm
systolic_inst.acc_wires\[6\]\[10\],23.5µm
_08809_,23.49µm
systolic_inst.B_shift\[27\]\[6\],23.48µm
systolic_inst.acc_wires\[7\]\[18\],23.48µm
_07986_,23.46µm
_10527_,23.46µm
deser_B.shift_reg\[111\],23.46µm
_03608_,23.42µm
_06554_,23.42µm
_06980_,23.42µm
_04741_,23.4µm
_05792_,23.38µm
_10912_,23.38µm
_11289_,23.38µm
_07469_,23.36µm
deser_A.shift_reg\[53\],23.36µm
_05469_,23.34µm
clknet_leaf_263_clk,23.34µm
systolic_inst.acc_wires\[12\]\[6\],23.33µm
_05114_,23.32µm
_11177_,23.32µm
_03977_,23.3µm
_05110_,23.3µm
deser_B.serial_word\[91\],23.28µm
systolic_inst.acc_wires\[9\]\[7\],23.27µm
_04600_,23.26µm
_05454_,23.26µm
_08155_,23.26µm
deser_A.word_buffer\[64\],23.25µm
_07742_,23.24µm
_09808_,23.24µm
systolic_inst.acc_wires\[10\]\[10\],23.24µm
ser_C.shift_reg\[481\],23.225µm
C_out\[43\],23.22µm
_03801_,23.22µm
_11656_,23.22µm
systolic_inst.row_loop\[3\].col_loop\[3\].pe_i.prod_reg\[11\],23.21µm
_03806_,23.2µm
_10563_,23.2µm
_11783_,23.2µm
deser_A.shift_reg\[20\],23.2µm
_05814_,23.18µm
_06700_,23.18µm
_07568_,23.18µm
deser_B.shift_reg\[82\],23.18µm
_12217_,23.15µm
_08157_,23.14µm
_10852_,23.14µm
_11888_,23.14µm
deser_A.shift_reg\[67\],23.14µm
_04424_,23.12µm
_12827_,23.12µm
deser_B.serial_word\[95\],23.12µm
systolic_inst.acc_wires\[13\]\[30\],23.12µm
systolic_inst.acc_wires\[3\]\[25\],23.12µm
systolic_inst.acc_wires\[7\]\[30\],23.11µm
systolic_inst.acc_wires\[13\]\[12\],23.1µm
_08441_,23.08µm
_12119_,23.08µm
ser_C.shift_reg\[310\],23.065µm
_06742_,23.06µm
ser_C.shift_reg\[169\],23.06µm
systolic_inst.acc_wires\[2\]\[9\],23.06µm
_10144_,23.04µm
deser_A.shift_reg\[4\],23.04µm
systolic_inst.row_loop\[0\].col_loop\[0\].pe_i.prod_reg\[8\],23.04µm
