net,length_um
deser_A.bit_idx\[0\],16.28µm
_0362_,16.22µm
deser_B.kept_shift_reg\[25\],16.18µm
deser_B.kept_shift_reg\[4\],16.14µm
ser_C.kept_bit_idx\[0\],15.99µm
deser_A.kept_shift_reg\[118\],15.94µm
_0368_,15.92µm
deser_A.kept_bit_idx\[5\],15.92µm
deser_B.kept_shift_reg\[99\],15.92µm
deser_B.kept_shift_reg\[21\],15.84µm
deser_A.kept_shift_reg\[29\],15.8µm
deser_A.kept_shift_reg\[63\],15.8µm
deser_A.kept_shift_reg\[73\],15.8µm
_0090_,15.765µm
deser_B.kept_shift_reg\[3\],15.74µm
_0524_,15.72µm
deser_B.kept_shift_reg\[23\],15.72µm
ser_C.bit_idx\[1\],15.72µm
deser_A.kept_shift_reg\[111\],15.68µm
deser_B.kept_shift_reg\[91\],15.62µm
systolic_inst.cycle_cnt\[0\],15.52µm
_0500_,15.48µm
deser_A.kept_shift_reg\[33\],15.48µm
deser_A.kept_shift_reg\[85\],15.48µm
deser_A.kept_shift_reg\[67\],15.46µm
deser_B.kept_bit_idx\[1\],15.4µm
net26,15.38µm
deser_A.kept_shift_reg\[122\],15.34µm
deser_B.kept_shift_reg\[83\],15.34µm
deser_B.kept_shift_reg\[57\],15.32µm
_0429_,15.26µm
deser_A.kept_shift_reg\[125\],15.26µm
deser_A.kept_shift_reg\[7\],15.26µm
deser_A.kept_shift_reg\[71\],15.22µm
deser_B.kept_shift_reg\[127\],15.22µm
deser_A.kept_shift_reg\[106\],15.18µm
ser_C.bit_idx\[6\],15.18µm
_0116_,15.14µm
_0487_,15.12µm
deser_A.kept_shift_reg\[114\],15.02µm
deser_A.kept_shift_reg\[116\],14.94µm
deser_A.bit_idx\[2\],14.92µm
_0123_,14.86µm
deser_A.kept_shift_reg\[44\],14.84µm
deser_A.kept_shift_reg\[62\],14.8µm
_0193_,14.665µm
ser_C.kept_bit_idx\[6\],14.66µm
_0447_,14.64µm
_0523_,14.64µm
deser_B.kept_shift_reg\[84\],14.6µm
net500,14.6µm
deser_B.kept_shift_reg\[2\],14.56µm
_0415_,14.54µm
deser_A.kept_shift_reg\[26\],14.48µm
deser_A.kept_shift_reg\[31\],14.48µm
systolic_inst.cycle_cnt\[24\],14.455µm
systolic_inst.cycle_cnt\[30\],14.44µm
deser_B.kept_shift_reg\[97\],14.42µm
deser_A.kept_shift_reg\[49\],14.34µm
deser_B.kept_shift_reg\[31\],14.34µm
deser_A.kept_shift_reg\[12\],14.22µm
deser_A.kept_shift_reg\[61\],14.18µm
deser_A.bit_idx\[3\],14.14µm
deser_A.kept_shift_reg\[64\],14.14µm
deser_A.kept_shift_reg\[56\],14.1µm
_0452_,13.98µm
systolic_inst.cycle_cnt\[25\],13.98µm
_0506_,13.94µm
systolic_inst.cycle_cnt\[27\],13.88µm
deser_B.kept_shift_reg\[76\],13.84µm
deser_B.kept_shift_reg\[111\],13.82µm
deser_B.kept_shift_reg\[115\],13.79µm
deser_B.bit_idx\[3\],13.74µm
deser_A.kept_shift_reg\[28\],13.72µm
deser_B.kept_shift_reg\[53\],13.72µm
deser_A.kept_shift_reg\[11\],13.68µm
_0072_,13.66µm
_0121_,13.66µm
deser_A.kept_shift_reg\[48\],13.66µm
deser_A.kept_shift_reg\[80\],13.64µm
net644,13.64µm
deser_A.kept_shift_reg\[124\],13.56µm
net503,13.54µm
deser_A.kept_shift_reg\[59\],13.5µm
_0395_,13.48µm
deser_B.kept_shift_reg\[56\],13.46µm
_0352_,13.44µm
_0521_,13.42µm
deser_A.kept_shift_reg\[69\],13.34µm
deser_B.kept_shift_reg\[61\],13.34µm
net505,13.22µm
deser_A.kept_shift_reg\[113\],13.2µm
_0169_,13.16µm
_0325_,13.16µm
deser_A.kept_shift_reg\[57\],13.1µm
_0365_,13.08µm
deser_A.kept_shift_reg\[88\],13.04µm
deser_B.kept_shift_reg\[104\],13.04µm
deser_B.kept_shift_reg\[44\],13.04µm
deser_B.kept_shift_reg\[74\],13.04µm
deser_B.kept_shift_reg\[7\],13.04µm
_0451_,12.96µm
_0012_,12.94µm
_0137_,12.92µm
_0526_,12.92µm
deser_B.kept_shift_reg\[10\],12.92µm
deser_B.kept_shift_reg\[117\],12.9µm
deser_A.kept_shift_reg\[25\],12.8µm
_0008_,12.76µm
deser_A.kept_shift_reg\[16\],12.76µm
net494,12.74µm
deser_A.kept_shift_reg\[119\],12.72µm
ser_C.kept_bit_idx\[5\],12.62µm
_0152_,12.58µm
_0174_,12.58µm
_0183_,12.58µm
_0393_,12.58µm
deser_A.kept_shift_reg\[17\],12.58µm
deser_B.kept_shift_reg\[106\],12.58µm
deser_B.kept_shift_reg\[85\],12.58µm
deser_A.kept_shift_reg\[117\],12.54µm
deser_A.kept_shift_reg\[42\],12.52µm
net501,12.52µm
systolic_inst.cycle_cnt\[7\],12.52µm
_0194_,12.46µm
deser_A.kept_shift_reg\[126\],12.46µm
_0349_,12.44µm
deser_A.kept_shift_reg\[22\],12.4µm
deser_A.kept_shift_reg\[101\],12.38µm
deser_B.kept_shift_reg\[38\],12.36µm
deser_A.kept_bit_idx\[7\],12.34µm
_0475_,12.3µm
_0486_,12.3µm
deser_B.bit_idx\[6\],12.3µm
_0370_,12.2µm
_0439_,12.2µm
deser_A.kept_shift_reg\[47\],12.2µm
deser_B.kept_shift_reg\[110\],12.2µm
deser_B.kept_shift_reg\[15\],12.2µm
net821,12.18µm
deser_A.kept_shift_reg\[32\],12.16µm
deser_A.kept_shift_reg\[58\],12.16µm
deser_B.kept_shift_reg\[71\],12.16µm
deser_B.kept_shift_reg\[82\],12.16µm
_0453_,12.12µm
_0023_,12.08µm
_0217_,12.08µm
_0061_,12.06µm
deser_B.kept_shift_reg\[62\],12µm
_0356_,11.94µm
deser_A.kept_shift_reg\[81\],11.92µm
deser_B.kept_shift_reg\[122\],11.9µm
_0442_,11.88µm
_0366_,11.84µm
deser_B.bit_idx\[7\],11.84µm
_0502_,11.8µm
_0307_,11.785µm
deser_A.kept_shift_reg\[10\],11.78µm
_0038_,11.74µm
deser_B.kept_shift_reg\[90\],11.74µm
deser_A.kept_shift_reg\[3\],11.72µm
deser_B.kept_shift_reg\[77\],11.72µm
_0227_,11.7µm
deser_B.kept_shift_reg\[5\],11.66µm
net491,11.64µm
net23,11.62µm
net504,11.6µm
systolic_inst.cycle_cnt\[1\],11.56µm
deser_A.kept_shift_reg\[38\],11.54µm
deser_B.kept_shift_reg\[17\],11.52µm
deser_A.kept_shift_reg\[8\],11.5µm
_0176_,11.44µm
deser_A.kept_shift_reg\[18\],11.38µm
deser_B.kept_shift_reg\[116\],11.32µm
_0360_,11.26µm
deser_A.kept_shift_reg\[104\],11.26µm
systolic_inst.cycle_cnt\[31\],11.24µm
deser_B.kept_shift_reg\[75\],11.2µm
net43,11.2µm
_0440_,11.18µm
_0384_,11.16µm
_0060_,11.1µm
deser_A.kept_shift_reg\[1\],11.08µm
deser_B.kept_shift_reg\[29\],11.04µm
deser_B.kept_shift_reg\[89\],11.02µm
deser_B.kept_shift_reg\[100\],10.98µm
deser_B.kept_shift_reg\[46\],10.96µm
deser_B.kept_shift_reg\[24\],10.92µm
_0208_,10.9µm
net736,10.88µm
deser_A.kept_shift_reg\[39\],10.86µm
_0088_,10.82µm
_0168_,10.82µm
deser_B.kept_shift_reg\[18\],10.82µm
_0357_,10.78µm
deser_B.kept_receiving,10.78µm
_0424_,10.76µm
deser_B.kept_shift_reg\[125\],10.74µm
deser_B.kept_shift_reg\[126\],10.74µm
deser_B.kept_shift_reg\[11\],10.7µm
_0443_,10.62µm
deser_B.kept_shift_reg\[81\],10.62µm
deser_A.kept_shift_reg\[24\],10.6µm
deser_A.kept_shift_reg\[79\],10.5µm
